id;DATEREMISE;DATEREC
PE-00568;2020-05-06 05:00:00;2020-05-06 11:15:00
PE-00571;2020-05-06 05:00:00;2020-05-06 11:17:00
PE-00570;2020-05-06 05:00:00;2020-05-06 11:50:00
PE-00563;2020-05-06 05:12:00;2020-05-06 12:18:00
PE-00564;2020-05-06 05:13:00;2020-05-06 09:59:00
PE-00565;2020-05-06 05:18:00;2020-05-06 12:20:00
PE-00566;2020-05-06 05:19:00;2020-05-06 11:51:00
PE-00567;2020-05-06 05:20:00;2020-05-06 11:52:00
PE-00569;2020-05-06 05:25:00;2020-05-06 12:17:00
PE-00576;2020-05-06 05:30:00;2020-05-06 11:50:00
PE-00575;2020-05-06 05:30:00;2020-05-06 11:54:00
PE-00573;2020-05-06 05:30:00;2020-05-06 12:37:00
PE-00574;2020-05-06 05:32:00;2020-05-06 12:23:00
PE-00588;2020-05-06 05:38:00;2020-05-06 12:18:00
PE-00584;2020-05-06 05:38:00;2020-05-06 16:08:00
PE-00578;2020-05-06 05:45:00;2020-05-06 13:00:00
PE-00582;2020-05-06 06:00:00;2020-05-06 11:54:00
PE-00580;2020-05-06 06:00:00;2020-05-06 16:57:00
PE-00581;2020-05-06 06:00:00;2020-05-07 08:02:00
PE-00583;2020-05-06 06:15:00;2020-05-06 14:43:00
PE-00600;2020-05-06 06:22:00;2020-05-06 11:50:00
PE-00585;2020-05-06 06:25:00;2020-05-06 17:12:00
PE-00612;2020-05-06 06:40:00;2020-05-06 12:16:00
PE-00605;2020-05-06 06:40:00;2020-05-06 12:20:00
PE-00587;2020-05-06 06:53:00;2020-05-06 17:45:00
PE-00616;2020-05-06 07:08:00;2020-05-06 14:29:00
PE-00619;2020-05-06 07:15:00;2020-05-06 10:09:00
PE-00609;2020-05-06 07:15:00;2020-05-06 15:35:00
PE-00589;2020-05-06 07:15:00;2020-05-06 19:13:00
PE-00610;2020-05-06 07:16:00;2020-05-06 16:30:00
PE-00590;2020-05-06 07:16:00;2020-05-07 07:02:00
PE-00591;2020-05-06 07:17:00;2020-05-06 14:18:00
PE-00620;2020-05-06 07:17:00;2020-05-06 14:33:00
PE-00621;2020-05-06 07:18:00;2020-05-06 15:30:00
PE-00611;2020-05-06 07:18:00;2020-05-06 17:05:00
PE-00592;2020-05-06 07:18:00;2020-05-06 17:20:00
PE-00622;2020-05-06 07:19:00;2020-05-06 17:16:00
PE-00613;2020-05-06 07:20:00;2020-05-06 08:25:00
PE-00614;2020-05-06 07:20:00;2020-05-06 13:30:00
PE-00650;2020-05-06 07:20:00;2020-05-06 16:15:00
PE-00623;2020-05-06 07:20:00;2020-05-06 19:13:00
PE-00646;2020-05-06 07:21:00;2020-05-06 08:03:00
PE-00615;2020-05-06 07:22:00;2020-05-06 17:11:00
PE-00624;2020-05-06 07:22:00;2020-05-06 17:50:00
PE-00625;2020-05-06 07:32:00;2020-05-06 12:07:00
PE-00593;2020-05-06 07:36:00;2020-05-06 16:40:00
PE-00594;2020-05-06 07:37:00;2020-05-06 14:35:00
PE-00595;2020-05-06 07:38:00;2020-05-06 14:35:00
PE-00596;2020-05-06 07:39:00;2020-05-06 12:02:00
PE-00597;2020-05-06 07:40:00;2020-05-07 21:00:00
PE-00617;2020-05-06 08:15:00;2020-05-06 12:06:00
PE-00626;2020-05-06 08:22:00;2020-05-06 18:35:00
PE-00618;2020-05-06 08:22:00;2020-05-06 18:35:00
PE-00627;2020-05-06 08:25:00;2020-05-06 10:34:00
PE-00628;2020-05-06 08:37:00;2020-05-06 12:20:00
PE-00629;2020-05-06 08:43:00;2020-05-06 12:24:00
PE-00631;2020-05-06 08:55:00;2020-05-06 10:10:00
PE-00598;2020-05-06 11:55:00;2020-05-06 20:30:00
PE-00632;2020-05-06 11:57:00;2020-05-06 19:25:00
PE-00633;2020-05-06 11:58:00;2020-05-06 19:12:00
PE-00634;2020-05-06 11:58:00;2020-05-06 19:18:00
PE-00599;2020-05-06 12:00:00;2020-05-06 18:49:00
PE-00636;2020-05-06 12:00:00;2020-05-06 19:14:00
PE-00635;2020-05-06 12:00:00;2020-05-06 19:15:00
PE-00637;2020-05-06 12:02:00;2020-05-06 18:58:00
PE-00601;2020-05-06 12:02:00;2020-05-06 19:08:00
PE-00602;2020-05-06 12:03:00;2020-05-06 19:11:00
PE-00638;2020-05-06 12:05:00;2020-05-06 19:10:00
PE-00603;2020-05-06 12:07:00;2020-05-06 18:47:00
PE-00639;2020-05-06 12:08:00;2020-05-06 19:00:00
PE-00604;2020-05-06 12:11:00;2020-05-06 18:38:00
PE-00640;2020-05-06 12:14:00;2020-05-06 18:54:00
PE-00641;2020-05-06 12:14:00;2020-05-06 18:58:00
PE-00607;2020-05-06 12:24:00;2020-05-06 18:38:00
PE-00606;2020-05-06 12:24:00;2020-05-06 18:38:00
PE-00642;2020-05-06 12:25:00;2020-05-06 18:58:00
PE-00643;2020-05-06 12:31:00;2020-05-06 13:02:00
PE-00644;2020-05-06 12:32:00;2020-05-06 14:45:00
PE-00608;2020-05-06 12:33:00;2020-05-06 18:41:00
PE-00645;2020-05-06 13:31:00;2020-05-06 19:11:00
PE-00647;2020-05-06 13:40:00;2020-05-06 19:09:00
PE-00648;2020-05-06 13:41:00;2020-05-06 19:30:00
PE-00649;2020-05-06 13:50:00;2020-05-06 19:27:00
PE-00651;2020-05-06 18:47:00;2020-05-07 07:00:00
PE-00652;2020-05-06 18:49:00;2020-05-07 04:41:00
PE-00712;2020-05-06 18:52:00;2020-05-07 05:20:00
PE-00657;2020-05-06 18:55:00;2020-05-07 04:42:00
PE-00658;2020-05-06 18:55:00;2020-05-07 04:50:00
PE-00659;2020-05-06 18:57:00;2020-05-07 04:58:00
PE-00653;2020-05-06 18:58:00;2020-05-07 04:41:00
PE-00654;2020-05-06 18:58:00;2020-05-07 04:41:00
PE-00660;2020-05-06 18:58:00;2020-05-07 04:42:00
PE-00655;2020-05-06 19:01:00;2020-05-07 04:41:00
PE-00698;2020-05-06 19:01:00;2020-05-07 05:20:00
PE-00661;2020-05-06 19:03:00;2020-05-07 04:42:00
PE-00656;2020-05-06 19:03:00;2020-05-07 04:43:00
PE-00674;2020-05-06 19:05:00;2020-05-07 04:44:00
PE-00684;2020-05-06 19:06:00;2020-05-07 04:41:00
PE-00681;2020-05-06 19:06:00;2020-05-07 04:50:00
PE-00662;2020-05-06 19:07:00;2020-05-07 04:50:00
PE-00663;2020-05-06 19:09:00;2020-05-07 04:42:00
PE-00664;2020-05-06 19:10:00;2020-05-07 04:43:00
PE-00689;2020-05-06 19:11:00;2020-05-07 04:41:00
PE-00688;2020-05-06 19:11:00;2020-05-07 04:41:00
PE-00665;2020-05-06 19:19:00;2020-05-07 04:43:00
PE-00666;2020-05-06 19:20:00;2020-05-07 04:27:00
PE-00691;2020-05-06 19:23:00;2020-05-07 04:41:00
PE-00690;2020-05-06 19:23:00;2020-05-07 04:41:00
PE-00667;2020-05-06 19:23:00;2020-05-07 04:50:00
PE-00668;2020-05-06 19:23:00;2020-05-07 04:50:00
PE-00669;2020-05-06 19:29:00;2020-05-07 06:32:00
PE-00576;2020-05-07 04:57:00;2020-05-07 11:59:00
PE-00582;2020-05-07 04:58:00;2020-05-07 11:47:00
PE-00697;2020-05-07 05:02:00;2020-05-07 11:56:00
PE-00670;2020-05-07 05:03:00;2020-05-07 12:25:00
PE-00596;2020-05-07 05:06:00;2020-05-07 11:45:00
PE-00574;2020-05-07 05:06:00;2020-05-07 12:25:00
PE-00569;2020-05-07 05:07:00;2020-05-07 11:52:00
PE-00700;2020-05-07 05:10:00;2020-05-07 12:00:00
PE-00671;2020-05-07 05:11:00;2020-05-07 11:47:00
PE-00578;2020-05-07 05:12:00;2020-05-07 12:41:00
PE-00672;2020-05-07 05:13:00;2020-05-07 12:41:00
PE-00564;2020-05-07 05:15:00;2020-05-07 12:45:00
PE-00673;2020-05-07 05:17:00;2020-05-07 11:50:00
PE-00702;2020-05-07 05:17:00;2020-05-07 12:21:00
PE-00605;2020-05-07 05:18:00;2020-05-07 12:20:00
PE-00675;2020-05-07 05:21:00;2020-05-07 21:00:00
PE-00676;2020-05-07 05:24:00;2020-05-07 12:20:00
