id;status;cat;ward;firstDate;lastDate
PE-00900;PE;Paramedical;Reanimation;2020-06-09 05:30:00;2020-06-09 16:40:00
PE-00897;PE;Paramedical;Reanimation;2020-06-09 05:30:00;2020-06-09 17:05:00
PE-00901;PE;Paramedical;Reanimation;2020-06-09 05:30:00;2020-06-09 17:20:00
PE-00891;PE;Paramedical;Reanimation;2020-06-09 05:35:00;2020-06-09 17:22:00
PE-00892;PE;Paramedical;Reanimation;2020-06-09 05:35:00;2020-06-09 17:22:00
PE-00893;PE;Paramedical;Reanimation;2020-06-09 05:35:00;2020-06-09 17:26:00
PE-00894;PE;Paramedical;Reanimation;2020-06-09 05:35:00;2020-06-09 17:26:00
PE-00908;PE;Paramedical;Reanimation;2020-06-09 05:44:00;2020-06-09 17:19:00
PE-00899;PE;Paramedical;Reanimation;2020-06-09 05:45:00;2020-06-09 16:40:00
PE-00895;PE;Paramedical;Reanimation;2020-06-09 05:45:00;2020-06-09 16:47:00
PE-00898;PE;Paramedical;Reanimation;2020-06-09 05:45:00;2020-06-09 16:53:00
PE-00896;PE;Paramedical;Reanimation;2020-06-09 05:45:00;2020-06-09 16:53:00
PE-00903;PE;Paramedical;Reanimation;2020-06-09 05:46:00;2020-06-09 12:58:00
PE-00909;PE;Paramedical;Reanimation;2020-06-09 05:49:00;2020-06-09 17:22:00
PE-00910;PE;Paramedical;Reanimation;2020-06-09 05:49:00;2020-06-09 17:49:00
PE-00911;PE;Paramedical;Reanimation;2020-06-09 06:00:00;2020-06-09 15:40:00
PE-00904;PE;Medical;Reanimation;2020-06-09 06:01:00;2020-06-09 14:32:00
PE-00905;PE;Medical;Reanimation;2020-06-09 06:19:00;2020-06-09 07:35:00
PE-00924;PE;Medical;Reanimation;2020-06-09 06:24:00;2020-06-09 16:09:00
PE-00925;PE;Medical;Reanimation;2020-06-09 06:25:00;2020-06-09 17:00:00
PE-00912;PE;Medical;Reanimation;2020-06-09 06:31:00;2020-06-10 21:00:00
PE-00927;PE;Medical;Reanimation;2020-06-09 06:34:00;2020-06-09 15:37:00
PE-00926;PE;Medical;Reanimation;2020-06-09 06:34:00;2020-06-09 17:02:00
PE-00929;PE;Medical;Reanimation;2020-06-09 06:41:00;2020-06-09 08:47:00
PE-00928;PE;Medical;Reanimation;2020-06-09 06:41:00;2020-06-09 15:54:00
