from;to;date_posix;length
PE-00891;PE-00892;2020-06-09 05:38:20;2040
PE-00891;PE-00892;2020-06-09 06:13:30;310
PE-00891;PE-00892;2020-06-09 06:39:30;150
PE-00891;PE-00892;2020-06-09 06:43:10;560
PE-00891;PE-00892;2020-06-09 06:54:20;450
PE-00891;PE-00892;2020-06-09 07:03:00;490
PE-00891;PE-00892;2020-06-09 07:30:20;120
PE-00891;PE-00892;2020-06-09 07:33:50;590
PE-00891;PE-00892;2020-06-09 07:45:10;1200
PE-00891;PE-00892;2020-06-09 08:48:50;190
PE-00891;PE-00892;2020-06-09 10:29:50;1320
PE-00891;PE-00892;2020-06-09 10:54:00;460
PE-00891;PE-00892;2020-06-09 11:05:00;260
PE-00891;PE-00892;2020-06-09 11:11:10;320
PE-00891;PE-00892;2020-06-09 11:20:30;340
PE-00891;PE-00892;2020-06-09 11:28:10;130
PE-00891;PE-00892;2020-06-09 11:42:20;820
PE-00891;PE-00892;2020-06-09 11:57:30;120
PE-00891;PE-00892;2020-06-09 13:00:30;330
PE-00891;PE-00892;2020-06-09 13:08:10;430
PE-00891;PE-00892;2020-06-09 13:16:30;1540
PE-00891;PE-00892;2020-06-09 13:44:30;610
PE-00891;PE-00892;2020-06-09 14:00:40;1830
PE-00891;PE-00892;2020-06-09 14:32:20;510
PE-00891;PE-00892;2020-06-09 14:42:20;170
PE-00891;PE-00892;2020-06-09 14:47:40;280
PE-00891;PE-00892;2020-06-09 14:55:50;2170
PE-00891;PE-00892;2020-06-09 16:08:30;450
PE-00891;PE-00892;2020-06-09 16:20:30;1450
PE-00891;PE-00892;2020-06-09 16:46:00;1160
PE-00891;PE-00892;2020-06-09 17:09:50;50
PE-00891;PE-00892;2020-06-09 17:11:50;80
PE-00891;PE-00892;2020-06-09 17:17:00;290
PE-00891;PE-00893;2020-06-09 05:35:00;350
PE-00891;PE-00893;2020-06-09 07:15:10;480
PE-00891;PE-00893;2020-06-09 08:09:50;370
PE-00891;PE-00893;2020-06-09 09:52:00;1370
PE-00891;PE-00893;2020-06-09 10:23:40;170
PE-00891;PE-00893;2020-06-09 10:37:00;790
PE-00891;PE-00893;2020-06-09 11:03:00;40
PE-00891;PE-00893;2020-06-09 12:08:50;460
PE-00891;PE-00893;2020-06-09 13:20:10;30
PE-00891;PE-00893;2020-06-09 14:52:00;70
PE-00891;PE-00893;2020-06-09 14:58:40;140
PE-00891;PE-00893;2020-06-09 16:04:10;70
PE-00891;PE-00893;2020-06-09 16:21:00;410
PE-00891;PE-00893;2020-06-09 16:29:20;470
PE-00891;PE-00894;2020-06-09 05:35:20;290
PE-00891;PE-00894;2020-06-09 07:12:10;230
PE-00891;PE-00894;2020-06-09 07:24:40;90
PE-00891;PE-00894;2020-06-09 07:29:20;70
PE-00891;PE-00894;2020-06-09 09:47:30;550
PE-00891;PE-00894;2020-06-09 09:59:30;1820
PE-00891;PE-00894;2020-06-09 12:01:00;960
PE-00891;PE-00894;2020-06-09 13:05:50;10
PE-00891;PE-00894;2020-06-09 13:08:10;80
PE-00891;PE-00894;2020-06-09 14:16:10;740
PE-00891;PE-00894;2020-06-09 14:29:40;460
PE-00891;PE-00894;2020-06-09 15:03:00;30
PE-00891;PE-00894;2020-06-09 15:04:50;250
PE-00891;PE-00894;2020-06-09 15:23:20;210
PE-00891;PE-00894;2020-06-09 15:37:40;390
PE-00891;PE-00894;2020-06-09 15:47:00;180
PE-00891;PE-00894;2020-06-09 15:55:00;330
PE-00891;PE-00894;2020-06-09 16:27:40;90
PE-00891;PE-00894;2020-06-09 16:30:10;470
PE-00891;PE-00894;2020-06-09 16:39:30;600
PE-00891;PE-00894;2020-06-09 17:07:50;340
PE-00891;PE-00896;2020-06-09 05:54:20;560
PE-00891;PE-00896;2020-06-09 06:16:10;1130
PE-00891;PE-00896;2020-06-09 07:14:20;60
PE-00891;PE-00896;2020-06-09 09:22:20;730
PE-00891;PE-00896;2020-06-09 09:54:20;460
PE-00891;PE-00896;2020-06-09 10:30:00;190
PE-00891;PE-00896;2020-06-09 10:38:30;320
PE-00891;PE-00896;2020-06-09 11:10:40;450
PE-00891;PE-00896;2020-06-09 11:20:20;60
PE-00891;PE-00896;2020-06-09 16:40:30;130
PE-00891;PE-00898;2020-06-09 05:54:30;250
PE-00891;PE-00898;2020-06-09 09:38:30;160
PE-00891;PE-00898;2020-06-09 10:02:40;90
PE-00891;PE-00898;2020-06-09 16:39:40;30
PE-00891;PE-00898;2020-06-09 16:42:00;130
PE-00891;PE-00898;2020-06-09 16:46:50;60
PE-00891;PE-00899;2020-06-09 08:54:30;70
PE-00891;PE-00900;2020-06-09 08:59:30;500
PE-00891;PE-00901;2020-06-09 12:37:00;140
PE-00891;PA-00478;2020-06-09 06:04:50;1970
PE-00891;PA-00478;2020-06-09 06:39:30;2180
PE-00891;PA-00478;2020-06-09 07:28:30;1460
PE-00891;PA-00478;2020-06-09 11:15:20;270
PE-00891;PA-00478;2020-06-09 12:56:30;580
PE-00891;PA-00478;2020-06-09 13:14:50;290
PE-00891;PA-00478;2020-06-09 13:21:00;690
PE-00891;PA-00478;2020-06-09 13:35:40;80
PE-00891;PA-00478;2020-06-09 13:46:40;700
PE-00891;PA-00478;2020-06-09 13:59:30;940
PE-00891;PA-00478;2020-06-09 14:47:40;220
PE-00891;PA-00478;2020-06-09 14:53:10;290
PE-00891;PA-00478;2020-06-09 15:09:30;810
PE-00891;PA-00478;2020-06-09 16:07:40;500
PE-00891;PE-00904;2020-06-09 09:08:50;30
PE-00891;PE-00913;2020-06-09 12:17:40;130
PE-00891;PE-00917;2020-06-09 07:49:20;180
PE-00891;PE-00924;2020-06-09 10:10:20;770
PE-00891;PE-00925;2020-06-09 07:34:10;500
PE-00891;PE-00925;2020-06-09 13:35:30;360
PE-00891;PE-00925;2020-06-09 13:51:20;220
PE-00891;PE-00925;2020-06-09 16:21:00;730
PE-00891;PA-00490;2020-06-09 08:16:30;250
PE-00891;PA-00490;2020-06-09 11:20:40;70
PE-00891;PE-00927;2020-06-09 10:26:10;50
PE-00891;PE-00927;2020-06-09 13:36:50;270
PE-00891;PE-00928;2020-06-09 10:10:20;570
PE-00891;PE-00928;2020-06-09 10:21:10;510
PE-00891;PE-00928;2020-06-09 12:28:20;80
PE-00891;PE-00930;2020-06-09 10:10:30;640
PE-00891;PE-00930;2020-06-09 10:22:30;210
PE-00891;PE-00930;2020-06-09 13:35:40;330
PE-00891;PE-00930;2020-06-09 13:51:30;630
PE-00891;PE-00930;2020-06-09 16:25:40;450
PE-00891;PE-00935;2020-06-09 13:53:00;540
PE-00891;PA-00492;2020-06-09 17:05:30;370
PE-00891;PE-00943;2020-06-09 17:12:10;580
PE-00892;PE-00893;2020-06-09 05:38:10;140
PE-00892;PE-00893;2020-06-09 07:15:40;470
PE-00892;PE-00893;2020-06-09 07:30:20;200
PE-00892;PE-00893;2020-06-09 09:39:10;100
PE-00892;PE-00893;2020-06-09 09:43:10;280
PE-00892;PE-00893;2020-06-09 09:51:20;140
PE-00892;PE-00893;2020-06-09 10:37:00;60
PE-00892;PE-00893;2020-06-09 10:52:10;80
PE-00892;PE-00893;2020-06-09 13:08:40;50
PE-00892;PE-00893;2020-06-09 13:10:50;70
PE-00892;PE-00893;2020-06-09 16:20:50;440
PE-00892;PE-00893;2020-06-09 16:30:00;430
PE-00892;PE-00894;2020-06-09 05:38:20;120
PE-00892;PE-00894;2020-06-09 06:52:50;70
PE-00892;PE-00894;2020-06-09 07:14:40;420
PE-00892;PE-00894;2020-06-09 07:30:10;20
PE-00892;PE-00894;2020-06-09 08:22:10;180
PE-00892;PE-00894;2020-06-09 09:39:10;100
PE-00892;PE-00894;2020-06-09 09:51:20;90
PE-00892;PE-00894;2020-06-09 10:43:40;600
PE-00892;PE-00894;2020-06-09 13:06:00;540
PE-00892;PE-00894;2020-06-09 13:41:10;340
PE-00892;PE-00894;2020-06-09 14:13:40;1050
PE-00892;PE-00894;2020-06-09 14:32:20;290
