from;to;date_posix;length
PE-00563;PE-00564;2020-05-06 05:13:00;1310
PE-00563;PE-00564;2020-05-06 05:36:10;110
PE-00563;PE-00564;2020-05-06 05:42:00;120
PE-00563;PE-00564;2020-05-06 05:49:00;590
PE-00563;PE-00564;2020-05-06 06:10:30;1030
PE-00563;PE-00564;2020-05-06 06:46:40;180
PE-00563;PE-00564;2020-05-06 06:53:30;250
PE-00563;PE-00564;2020-05-06 07:01:00;250
PE-00563;PE-00564;2020-05-06 07:13:30;1070
PE-00563;PE-00564;2020-05-06 07:50:50;350
PE-00563;PE-00564;2020-05-06 08:03:30;20
PE-00563;PE-00564;2020-05-06 08:11:30;1000
PE-00563;PE-00564;2020-05-06 08:31:40;500
PE-00563;PE-00564;2020-05-06 08:41:20;430
PE-00563;PE-00564;2020-05-06 08:58:10;150
PE-00563;PE-00564;2020-05-06 09:03:30;410
PE-00563;PE-00564;2020-05-06 09:11:40;40
PE-00563;PE-00564;2020-05-06 09:14:50;150
PE-00563;PE-00564;2020-05-06 09:29:00;220
PE-00563;PE-00564;2020-05-06 09:52:20;30
PE-00563;PE-00564;2020-05-06 09:57:50;50
PE-00563;PE-00564;2020-05-07 05:50:00;1170
PE-00563;PE-00564;2020-05-07 06:13:00;740
PE-00563;PE-00564;2020-05-07 06:28:20;120
PE-00563;PE-00564;2020-05-07 06:33:50;490
PE-00563;PE-00564;2020-05-07 06:44:20;1150
PE-00563;PE-00564;2020-05-07 07:05:00;230
PE-00563;PE-00564;2020-05-07 07:12:00;650
PE-00563;PE-00564;2020-05-07 07:24:30;40
PE-00563;PE-00564;2020-05-07 07:31:30;240
PE-00563;PE-00564;2020-05-07 07:36:30;280
PE-00563;PE-00564;2020-05-07 07:43:50;30
PE-00563;PE-00564;2020-05-07 07:45:30;290
PE-00563;PE-00564;2020-05-07 07:53:20;370
PE-00563;PE-00564;2020-05-07 08:19:40;100
PE-00563;PE-00564;2020-05-07 08:25:20;330
PE-00563;PE-00564;2020-05-07 08:46:10;1400
PE-00563;PE-00564;2020-05-07 09:14:10;700
PE-00563;PE-00564;2020-05-07 09:27:00;1170
PE-00563;PE-00564;2020-05-07 09:50:00;70
PE-00563;PE-00564;2020-05-07 09:53:00;180
PE-00563;PE-00564;2020-05-07 09:57:20;110
PE-00563;PE-00564;2020-05-07 10:02:40;940
PE-00563;PE-00564;2020-05-07 10:19:30;130
PE-00563;PE-00564;2020-05-07 10:23:00;140
PE-00563;PE-00564;2020-05-07 10:26:40;1280
PE-00563;PE-00564;2020-05-07 10:49:20;230
PE-00563;PE-00564;2020-05-07 11:00:00;480
PE-00563;PE-00564;2020-05-07 11:19:20;70
PE-00563;PE-00564;2020-05-07 11:22:50;310
PE-00563;PE-00564;2020-05-07 11:32:10;530
PE-00563;PE-00564;2020-05-07 11:42:30;70
PE-00563;PE-00564;2020-05-07 11:51:50;340
PE-00563;PE-00564;2020-05-07 11:59:00;80
PE-00563;PE-00564;2020-05-07 12:11:30;1160
PE-00563;PE-00565;2020-05-06 06:44:50;110
PE-00563;PE-00565;2020-05-06 09:12:40;100
PE-00563;PE-00565;2020-05-06 09:21:00;250
PE-00563;PE-00565;2020-05-06 09:26:50;130
PE-00563;PE-00566;2020-05-06 07:05:40;910
PE-00563;PE-00567;2020-05-06 07:06:40;220
PE-00563;PE-00567;2020-05-06 08:06:50;240
PE-00563;PE-00567;2020-05-06 08:58:10;10
PE-00563;PE-00567;2020-05-06 09:00:00;50
PE-00563;PE-00567;2020-05-06 11:11:20;10
