"beta_c" "beta_e" "threshold" "network" "model"
"0.5" "1/20000" 60 "herriot" "exponential"
"0.75" "1/26000" 60 "herriot" "exponential"
"1" "1/30000" 60 "herriot" "exponential"
"1.25" "1/40000" 60 "herriot" "exponential"
"1.5" "1/60000" 60 "herriot" "exponential"
"0.5" "1/20000" 60 "poincare" "exponential"
"0.75" "1/26000" 60 "poincare" "exponential"
"1" "1/30000" 60 "poincare" "exponential"
"1.25" "1/40000" 60 "poincare" "exponential"
"1.5" "1/60000" 60 "poincare" "exponential"
"0.5" "1/20000" 60 "herriot" "log-linear"
"0.75" "1/26000" 60 "herriot" "log-linear"
"1" "1/30000" 60 "herriot" "log-linear"
"1.25" "1/40000" 60 "herriot" "log-linear"
"1.5" "1/60000" 60 "herriot" "log-linear"
"0.5" "1/20000" 60 "poincare" "log-linear"
"0.75" "1/26000" 60 "poincare" "log-linear"
"1" "1/30000" 60 "poincare" "log-linear"
"1.25" "1/40000" 60 "poincare" "log-linear"
"1.5" "1/60000" 60 "poincare" "log-linear"
"0.5" "1/20000" 120 "herriot" "linear"
"0.75" "1/26000" 120 "herriot" "linear"
"1" "1/30000" 120 "herriot" "linear"
"1.25" "1/40000" 120 "herriot" "linear"
"1.5" "1/60000" 120 "herriot" "linear"
"0.5" "1/20000" 180 "herriot" "linear"
"0.75" "1/26000" 180 "herriot" "linear"
"1" "1/30000" 180 "herriot" "linear"
"1.25" "1/40000" 180 "herriot" "linear"
"1.5" "1/60000" 180 "herriot" "linear"
"0.5" "1/20000" 120 "poincare" "linear"
"0.75" "1/26000" 120 "poincare" "linear"
"1" "1/30000" 120 "poincare" "linear"
"1.25" "1/40000" 120 "poincare" "linear"
"1.5" "1/60000" 120 "poincare" "linear"
"0.5" "1/20000" 180 "poincare" "linear"
"0.75" "1/26000" 180 "poincare" "linear"
"1" "1/30000" 180 "poincare" "linear"
"1.25" "1/40000" 180 "poincare" "linear"
"1.5" "1/60000" 180 "poincare" "linear"
