"Global";"HCW";"Patient";"Paramedical";"Medical";"Environment";"Contact";"Patient_Contact";"Patient_Environment";"Paramedical_Contact";"Paramedical_Environment";"Medical_Contact";"Medical_Environment";"I_global";"I_patient";"I_medical";"I_paramedical";"I_environment";"I_contact";"Epidemic_duration";"Time_to_peak";"network";"model";"threshold";"beta_c";"beta_e";"nSim"
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;"icu1";"linear";60;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;"icu1";"linear";60;0;0;10
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;"icu1";"linear";60;0;0;100
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;"icu1";"linear";60;0;0;11
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;"icu1";"linear";60;0;0;12
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;"icu1";"linear";60;0;0;13
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;"icu1";"linear";60;0;0;14
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;"icu1";"linear";60;0;0;15
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;"icu1";"linear";60;0;0;16
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;"icu1";"linear";60;0;0;17
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;"icu1";"linear";60;0;0;18
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;"icu1";"linear";60;0;0;19
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;"icu1";"linear";60;0;0;2
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;"icu1";"linear";60;0;0;20
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;"icu1";"linear";60;0;0;21
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;"icu1";"linear";60;0;0;22
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;"icu1";"linear";60;0;0;23
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;"icu1";"linear";60;0;0;24
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;"icu1";"linear";60;0;0;25
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;"icu1";"linear";60;0;0;26
