"couple";"Global_min";"Global_max";"Global_mean";"Global_median";"Global_sd";"HCW_min";"HCW_max";"HCW_mean";"HCW_median";"HCW_sd";"Patient_min";"Patient_max";"Patient_mean";"Patient_median";"Patient_sd";"Paramedical_min";"Paramedical_max";"Paramedical_mean";"Paramedical_median";"Paramedical_sd";"Medical_min";"Medical_max";"Medical_mean";"Medical_median";"Medical_sd";"Environment_min";"Environment_max";"Environment_mean";"Environment_median";"Environment_sd";"Contact_min";"Contact_max";"Contact_mean";"Contact_median";"Contact_sd";"beta";"nu";"ED_min";"ED_max";"ED_median";"ED_mean";"ED_sd"
"sim_0_0";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,01875;6,99722222222222;5,13072916666667;5,06444618055556;1,16757090579497
"sim_0_1";0;0,009375;0,000171875;0;0,000950108885256959;0;0,0223880597014925;0,00041044776119403;0;0,00226891674091214;0;0;0;0;0;0;0,0309278350515464;0,000412371134020619;0;0,00289384160809864;0;0,0277777777777778;0,000416666666666667;0;0,00338493009109063;0;0,009375;0,000171875;0;0,000950108885256959;0;0;0;0;0;0;1;3,01215277777778;21,5336805555556;4,94635416666667;5,08208680555556;1,89181860894022
"sim_0_10";0;0,1625;0,01590625;0;0,0315254661706036;0;0,32089552238806;0,0346641791044776;0;0,0678581014157461;0;0,0483870967741935;0,00239247311827957;0;0,00708302118495999;0;0,422680412371134;0,0375115716389649;0;0,0758668049580305;0;0,472222222222222;0,0273873873873874;0;0,075574753756914;0;0,1625;0,01590625;0;0,0315254661706036;0;0;0;0;0;0;10;3,01701388888889;69,4607638888889;6,35451388888889;13,8461822916667;14,8261937986138
"sim_0_11";0;0,196875;0,0263125;0,003125;0,0424212246582715;0;0,440298507462687;0,0582462686567164;0,00746268656716418;0,0940806641800955;0;0,0376344086021505;0,00330645161290323;0;0,00659407338042628;0;0,469387755102041;0,066390700610141;0;0,109461625673477;0;0,5;0,0371509009009009;0;0,0920206334135261;0;0,196875;0,0263125;0,003125;0,0424212246582715;0;0;0;0;0;0;11;3,05972222222222;91,4503472222222;8,871875;18,2123159722222;18,2633331526475
"sim_0_12";0;0,2;0,02396875;0,003125;0,0425503023147059;0;0,425373134328358;0,0523134328358209;0,00746268656716418;0,093364893685183;0;0,043010752688172;0,00354838709677419;0;0,00739881320838155;0;0,489795918367347;0,0582237534188933;0;0,109491271892145;0;0,486486486486487;0,0370795795795796;0;0,0883275991223207;0;0,2;0,02396875;0,003125;0,0425503023147059;0;0;0;0;0;0;12;3,04236111111111;83,6940972222222;9,18055555555556;17,7588524305556;18,7563520331149
"sim_0_13";0;0,24375;0,043640625;0,003125;0,0646849376965644;0;0,507462686567164;0,0963432835820895;0,00746268656716418;0,142371496217126;0;0,0591397849462366;0,00567204301075269;0;0,0106194465291244;0;0,540816326530612;0,104216810435514;0;0,156182376283557;0;0,594594594594595;0,075975975975976;0;0,139920862637319;0;0,24375;0,043640625;0,003125;0,0646849376965644;0;0;0;0;0;0;13;3,00729166666667;98,5861111111111;8,17465277777778;23,3895486111111;24,2078958148844
"sim_0_14";0;0,265625;0,05125;0,003125;0,0751503413600541;0;0,582089552238806;0,112686567164179;0,00746268656716418;0,16577367373431;0;0,0537634408602151;0,00698924731182796;0;0,0116100611104406;0;0,63265306122449;0,121945613296865;0,0103092783505155;0,182293487951732;0;0,555555555555556;0,0885885885885886;0;0,152693090573738;0;0,265625;0,05125;0,003125;0,0751503413600541;0;0;0;0;0;0;14;3,05659722222222;97,7423611111111;11,3538194444444;24,7425;25,5873963601683
"sim_0_15";0;0,265625;0,06303125;0,00625;0,0858696540087674;0;0,567164179104478;0,137686567164179;0,0149253731343284;0,187607166550413;0;0,0752688172043011;0,00924731182795699;0;0,0148798513120598;0;0,602040816326531;0,151249211024616;0,0206185567010309;0,206497121986491;0;0,583333333333333;0,102293543543544;0;0,166854002617936;0;0,265625;0,06303125;0,00625;0,0858696540087674;0;0;0;0;0;0;15;3,00763888888889;96,1190972222222;13,1934027777778;26,4003663194444;25,3175515159275
"sim_0_15-2";0;0,103125;0,006984375;0;0,0163448427541431;0;0,23134328358209;0,015410447761194;0;0,0364144114729408;0;0,0268817204301075;0,000913978494623656;0;0,00305418730891042;0;0,298969072164948;0,0169950557542605;0;0,0460148476316615;0;0,189189189189189;0,0113776276276276;0;0,030683329578275;0;0,103125;0,006984375;0;0,0163448427541431;0;0;0;0;0;0;7,5;3,090625;69,2694444444444;6,56579861111111;10,4930399305556;10,2031875588955
"sim_0_16";0;0,315625;0,083921875;0,00625;0,101503786904178;0;0,649253731343284;0,18160447761194;0,0149253731343284;0,219097225479899;0;0,0860215053763441;0,0135483870967742;0;0,0193130676816491;0;0,663265306122449;0,191462234378287;0,0154639175257732;0,233851074703768;0;0,702702702702703;0,155882132132132;0;0,209284719516662;0;0,315625;0,083921875;0,00625;0,101503786904178;0;0;0;0;0;0;16;3,128125;97,7809027777778;13,0439236111111;32,0434965277778;29,9446357635397
